"Step","sample_pretrain - train_loss","sample_pretrain - train_loss__MIN","sample_pretrain - train_loss__MAX"
"1","0.4348958333333333","0.4348958333333333","0.4348958333333333"
"2","0.4140625","0.4140625","0.4140625"
"3","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"4","0.4036458333333333","0.4036458333333333","0.4036458333333333"
"5","0.4348958333333333","0.4348958333333333","0.4348958333333333"
"6","0.3984375","0.3984375","0.3984375"
"7","0.4036458333333333","0.4036458333333333","0.4036458333333333"
"8","0.4192708333333333","0.4192708333333333","0.4192708333333333"
"9","0.3854166666666667","0.3854166666666667","0.3854166666666667"
"10","0.3697916666666667","0.3697916666666667","0.3697916666666667"
"11","0.4010416666666667","0.4010416666666667","0.4010416666666667"
"12","0.359375","0.359375","0.359375"
"13","0.3671875","0.3671875","0.3671875"
"14","0.3697916666666667","0.3697916666666667","0.3697916666666667"
"15","0.3463541666666667","0.3463541666666667","0.3463541666666667"
"16","0.3567708333333333","0.3567708333333333","0.3567708333333333"
"17","0.3515625","0.3515625","0.3515625"
"18","0.3385416666666667","0.3385416666666667","0.3385416666666667"
"19","0.3294270833333333","0.3294270833333333","0.3294270833333333"
"20","0.3203125","0.3203125","0.3203125"
"21","0.3203125","0.3203125","0.3203125"
"22","0.3151041666666667","0.3151041666666667","0.3151041666666667"
"23","0.2877604166666667","0.2877604166666667","0.2877604166666667"
"24","0.2877604166666667","0.2877604166666667","0.2877604166666667"
"25","0.2916666666666667","0.2916666666666667","0.2916666666666667"
"26","0.3046875","0.3046875","0.3046875"
"27","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"28","0.29296875","0.29296875","0.29296875"
"29","0.2799479166666667","0.2799479166666667","0.2799479166666667"
"30","0.2942708333333333","0.2942708333333333","0.2942708333333333"
"31","0.296875","0.296875","0.296875"
"32","0.2942708333333333","0.2942708333333333","0.2942708333333333"
"33","0.296875","0.296875","0.296875"
"34","0.2747395833333333","0.2747395833333333","0.2747395833333333"
"35","0.2747395833333333","0.2747395833333333","0.2747395833333333"
"36","0.2760416666666667","0.2760416666666667","0.2760416666666667"
"37","0.28125","0.28125","0.28125"
"38","0.28515625","0.28515625","0.28515625"
"39","0.2890625","0.2890625","0.2890625"
"40","0.28125","0.28125","0.28125"
"41","0.2864583333333333","0.2864583333333333","0.2864583333333333"
"42","0.2682291666666667","0.2682291666666667","0.2682291666666667"
"43","0.30078125","0.30078125","0.30078125"
"44","0.26171875","0.26171875","0.26171875"
"45","0.29296875","0.29296875","0.29296875"
"46","0.2630208333333333","0.2630208333333333","0.2630208333333333"
"47","0.28125","0.28125","0.28125"
"48","0.28515625","0.28515625","0.28515625"
"49","0.2682291666666667","0.2682291666666667","0.2682291666666667"
"50","0.2682291666666667","0.2682291666666667","0.2682291666666667"
"51","0.265625","0.265625","0.265625"
"52","0.26953125","0.26953125","0.26953125"
"53","0.2760416666666667","0.2760416666666667","0.2760416666666667"
"54","0.265625","0.265625","0.265625"
"55","0.26953125","0.26953125","0.26953125"
"56","0.2825520833333333","0.2825520833333333","0.2825520833333333"
"57","0.2669270833333333","0.2669270833333333","0.2669270833333333"
"58","0.2864583333333333","0.2864583333333333","0.2864583333333333"
"59","0.2734375","0.2734375","0.2734375"
"60","0.2669270833333333","0.2669270833333333","0.2669270833333333"
"61","0.2513020833333333","0.2513020833333333","0.2513020833333333"
"62","0.2747395833333333","0.2747395833333333","0.2747395833333333"
"63","0.25","0.25","0.25"
"64","0.2630208333333333","0.2630208333333333","0.2630208333333333"
"65","0.24739583333333334","0.24739583333333334","0.24739583333333334"
"66","0.25390625","0.25390625","0.25390625"
"67","0.23828125","0.23828125","0.23828125"
"68","0.2630208333333333","0.2630208333333333","0.2630208333333333"
"69","0.25390625","0.25390625","0.25390625"
"70","0.2526041666666667","0.2526041666666667","0.2526041666666667"
"71","0.25390625","0.25390625","0.25390625"
"72","0.2526041666666667","0.2526041666666667","0.2526041666666667"
"73","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"74","0.26171875","0.26171875","0.26171875"
"75","0.2669270833333333","0.2669270833333333","0.2669270833333333"
"76","0.28125","0.28125","0.28125"
"77","0.26953125","0.26953125","0.26953125"
"78","0.25","0.25","0.25"
"79","0.2721354166666667","0.2721354166666667","0.2721354166666667"
"80","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"81","0.2526041666666667","0.2526041666666667","0.2526041666666667"
"82","0.26171875","0.26171875","0.26171875"
"83","0.24348958333333334","0.24348958333333334","0.24348958333333334"
"84","0.2630208333333333","0.2630208333333333","0.2630208333333333"
"85","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"86","0.265625","0.265625","0.265625"
"87","0.2721354166666667","0.2721354166666667","0.2721354166666667"
"88","0.26171875","0.26171875","0.26171875"
"89","0.2747395833333333","0.2747395833333333","0.2747395833333333"
"90","0.2630208333333333","0.2630208333333333","0.2630208333333333"
"91","0.265625","0.265625","0.265625"
"92","0.24609375","0.24609375","0.24609375"
"93","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"94","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"95","0.2643229166666667","0.2643229166666667","0.2643229166666667"
"96","0.24869791666666666","0.24869791666666666","0.24869791666666666"
"97","0.25","0.25","0.25"
"98","0.2643229166666667","0.2643229166666667","0.2643229166666667"
"99","0.2513020833333333","0.2513020833333333","0.2513020833333333"
"100","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"101","0.24739583333333334","0.24739583333333334","0.24739583333333334"
"102","0.26953125","0.26953125","0.26953125"
"103","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"104","0.24479166666666666","0.24479166666666666","0.24479166666666666"
"105","0.2578125","0.2578125","0.2578125"
"106","0.26171875","0.26171875","0.26171875"
"107","0.25","0.25","0.25"
"108","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"109","0.24088541666666666","0.24088541666666666","0.24088541666666666"
"110","0.2747395833333333","0.2747395833333333","0.2747395833333333"
"111","0.2838541666666667","0.2838541666666667","0.2838541666666667"
"112","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"113","0.25390625","0.25390625","0.25390625"
"114","0.2578125","0.2578125","0.2578125"
"115","0.25","0.25","0.25"
"116","0.2643229166666667","0.2643229166666667","0.2643229166666667"
"117","0.2643229166666667","0.2643229166666667","0.2643229166666667"
"118","0.25390625","0.25390625","0.25390625"
"119","0.24348958333333334","0.24348958333333334","0.24348958333333334"
"120","0.24348958333333334","0.24348958333333334","0.24348958333333334"
"121","0.2669270833333333","0.2669270833333333","0.2669270833333333"
"122","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"123","0.2578125","0.2578125","0.2578125"
"124","0.24609375","0.24609375","0.24609375"
"125","0.24088541666666666","0.24088541666666666","0.24088541666666666"
"126","0.2526041666666667","0.2526041666666667","0.2526041666666667"
"127","0.2721354166666667","0.2721354166666667","0.2721354166666667"
"128","0.2591145833333333","0.2591145833333333","0.2591145833333333"
"129","0.24348958333333334","0.24348958333333334","0.24348958333333334"
"130","0.23958333333333334","0.23958333333333334","0.23958333333333334"
"131","0.25390625","0.25390625","0.25390625"
