"Step","sample_pretrain - learning_rate","sample_pretrain - learning_rate__MIN","sample_pretrain - learning_rate__MAX"
"1","0.00001153846153846154","0.00001153846153846154","0.00001153846153846154"
"2","0.00002307692307692308","0.00002307692307692308","0.00002307692307692308"
"3","0.00003461538461538462","0.00003461538461538462","0.00003461538461538462"
"4","0.00004615384615384616","0.00004615384615384616","0.00004615384615384616"
"5","0.0000576923076923077","0.0000576923076923077","0.0000576923076923077"
"6","0.00006923076923076924","0.00006923076923076924","0.00006923076923076924"
"7","0.00008076923076923078","0.00008076923076923078","0.00008076923076923078"
"8","0.00009230769230769232","0.00009230769230769232","0.00009230769230769232"
"9","0.00010384615384615386","0.00010384615384615386","0.00010384615384615386"
"10","0.0001153846153846154","0.0001153846153846154","0.0001153846153846154"
"11","0.00012692307692307693","0.00012692307692307693","0.00012692307692307693"
"12","0.00013846153846153847","0.00013846153846153847","0.00013846153846153847"
"13","0.00015000000000000001","0.00015000000000000001","0.00015000000000000001"
"14","0.00016153846153846155","0.00016153846153846155","0.00016153846153846155"
"15","0.0001730769230769231","0.0001730769230769231","0.0001730769230769231"
"16","0.00018461538461538463","0.00018461538461538463","0.00018461538461538463"
"17","0.00019615384615384617","0.00019615384615384617","0.00019615384615384617"
"18","0.0002076923076923077","0.0002076923076923077","0.0002076923076923077"
"19","0.00021923076923076925","0.00021923076923076925","0.00021923076923076925"
"20","0.0002307692307692308","0.0002307692307692308","0.0002307692307692308"
"21","0.00024230769230769233","0.00024230769230769233","0.00024230769230769233"
"22","0.00025384615384615387","0.00025384615384615387","0.00025384615384615387"
"23","0.0002653846153846154","0.0002653846153846154","0.0002653846153846154"
"24","0.00027692307692307695","0.00027692307692307695","0.00027692307692307695"
"25","0.0002884615384615385","0.0002884615384615385","0.0002884615384615385"
"26","0.00030000000000000003","0.00030000000000000003","0.00030000000000000003"
"27","0.00031153846153846157","0.00031153846153846157","0.00031153846153846157"
"28","0.0003230769230769231","0.0003230769230769231","0.0003230769230769231"
"29","0.00033461538461538465","0.00033461538461538465","0.00033461538461538465"
"30","0.0003461538461538462","0.0003461538461538462","0.0003461538461538462"
"31","0.0003576923076923077","0.0003576923076923077","0.0003576923076923077"
"32","0.00036923076923076927","0.00036923076923076927","0.00036923076923076927"
"33","0.00038076923076923075","0.00038076923076923075","0.00038076923076923075"
"34","0.00039230769230769234","0.00039230769230769234","0.00039230769230769234"
"35","0.00040384615384615383","0.00040384615384615383","0.00040384615384615383"
"36","0.0004153846153846154","0.0004153846153846154","0.0004153846153846154"
"37","0.0004269230769230769","0.0004269230769230769","0.0004269230769230769"
"38","0.0004384615384615385","0.0004384615384615385","0.0004384615384615385"
"39","0.00045","0.00045","0.00045"
"40","0.0004615384615384616","0.0004615384615384616","0.0004615384615384616"
"41","0.00047307692307692307","0.00047307692307692307","0.00047307692307692307"
"42","0.00048461538461538466","0.00048461538461538466","0.00048461538461538466"
"43","0.0004961538461538461","0.0004961538461538461","0.0004961538461538461"
"44","0.0005076923076923077","0.0005076923076923077","0.0005076923076923077"
"45","0.0005192307692307692","0.0005192307692307692","0.0005192307692307692"
"46","0.0005307692307692308","0.0005307692307692308","0.0005307692307692308"
"47","0.0005423076923076923","0.0005423076923076923","0.0005423076923076923"
"48","0.0005538461538461539","0.0005538461538461539","0.0005538461538461539"
"49","0.0005653846153846154","0.0005653846153846154","0.0005653846153846154"
"50","0.000576923076923077","0.000576923076923077","0.000576923076923077"
"51","0.0005884615384615385","0.0005884615384615385","0.0005884615384615385"
"52","0.0006000000000000001","0.0006000000000000001","0.0006000000000000001"
"53","0.0006115384615384615","0.0006115384615384615","0.0006115384615384615"
"54","0.0006230769230769231","0.0006230769230769231","0.0006230769230769231"
"55","0.0006346153846153846","0.0006346153846153846","0.0006346153846153846"
"56","0.0006461538461538462","0.0006461538461538462","0.0006461538461538462"
"57","0.0006576923076923077","0.0006576923076923077","0.0006576923076923077"
"58","0.0006692307692307693","0.0006692307692307693","0.0006692307692307693"
"59","0.0006807692307692308","0.0006807692307692308","0.0006807692307692308"
"60","0.0006923076923076924","0.0006923076923076924","0.0006923076923076924"
"61","0.0007038461538461539","0.0007038461538461539","0.0007038461538461539"
"62","0.0007153846153846155","0.0007153846153846155","0.0007153846153846155"
"63","0.0007269230769230769","0.0007269230769230769","0.0007269230769230769"
"64","0.0007384615384615385","0.0007384615384615385","0.0007384615384615385"
"65","0.00075","0.00075","0.00075"
"66","0.0007615384615384615","0.0007615384615384615","0.0007615384615384615"
"67","0.000773076923076923","0.000773076923076923","0.000773076923076923"
