"Step","sample_pretrain - rolling_loss","sample_pretrain - rolling_loss__MIN","sample_pretrain - rolling_loss__MAX"
"1","0.4348958333333333","0.4348958333333333","0.4348958333333333"
"2","0.42447916666666663","0.42447916666666663","0.42447916666666663"
"3","0.421875","0.421875","0.421875"
"4","0.4173177083333333","0.4173177083333333","0.4173177083333333"
"5","0.4208333333333333","0.4208333333333333","0.4208333333333333"
"6","0.4171006944444444","0.4171006944444444","0.4171006944444444"
"7","0.41517857142857145","0.41517857142857145","0.41517857142857145"
"8","0.4156901041666667","0.4156901041666667","0.4156901041666667"
"9","0.4123263888888889","0.4123263888888889","0.4123263888888889"
"10","0.4080729166666667","0.4080729166666667","0.4080729166666667"
"11","0.40743371212121215","0.40743371212121215","0.40743371212121215"
"12","0.4034288194444445","0.4034288194444445","0.4034288194444445"
"13","0.40064102564102566","0.40064102564102566","0.40064102564102566"
"14","0.39843750000000006","0.39843750000000006","0.39843750000000006"
"15","0.39496527777777785","0.39496527777777785","0.39496527777777785"
"16","0.39257812500000006","0.39257812500000006","0.39257812500000006"
"17","0.3901654411764706","0.3901654411764706","0.3901654411764706"
"18","0.3872974537037038","0.3872974537037038","0.3872974537037038"
"19","0.38425164473684215","0.38425164473684215","0.38425164473684215"
"20","0.38105468750000004","0.38105468750000004","0.38105468750000004"
"21","0.37816220238095244","0.37816220238095244","0.37816220238095244"
"22","0.3752959280303031","0.3752959280303031","0.3752959280303031"
"23","0.3714900362318841","0.3714900362318841","0.3714900362318841"
"24","0.3680013020833333","0.3680013020833333","0.3680013020833333"
"25","0.36494791666666665","0.36494791666666665","0.36494791666666665"
"26","0.3626302083333333","0.3626302083333333","0.3626302083333333"
"27","0.36038773148148145","0.36038773148148145","0.36038773148148145"
"28","0.3579799107142857","0.3579799107142857","0.3579799107142857"
"29","0.35528915229885055","0.35528915229885055","0.35528915229885055"
"30","0.35325520833333335","0.35325520833333335","0.35325520833333335"
"31","0.3514364919354839","0.3514364919354839","0.3514364919354839"
"32","0.3496500651041667","0.3496500651041667","0.3496500651041667"
"33","0.3480508207070707","0.3480508207070707","0.3480508207070707"
"34","0.3458946078431373","0.3458946078431373","0.3458946078431373"
"35","0.3438616071428572","0.3438616071428572","0.3438616071428572"
"36","0.34197771990740744","0.34197771990740744","0.34197771990740744"
"37","0.3403364301801802","0.3403364301801802","0.3403364301801802"
"38","0.3388843201754386","0.3388843201754386","0.3388843201754386"
"39","0.33760683760683763","0.33760683760683763","0.33760683760683763"
"40","0.3361979166666667","0.3361979166666667","0.3361979166666667"
"41","0.334984756097561","0.334984756097561","0.334984756097561"
"42","0.3333953373015873","0.3333953373015873","0.3333953373015873"
"43","0.3326368701550388","0.3326368701550388","0.3326368701550388"
"44","0.3310250946969697","0.3310250946969697","0.3310250946969697"
"45","0.3301793981481482","0.3301793981481482","0.3301793981481482"
"46","0.3287194293478261","0.3287194293478261","0.3287194293478261"
"47","0.32770944148936176","0.32770944148936176","0.32770944148936176"
"48","0.3268229166666667","0.3268229166666667","0.3268229166666667"
"49","0.32562712585034015","0.32562712585034015","0.32562712585034015"
"50","0.3244791666666667","0.3244791666666667","0.3244791666666667"
"51","0.3233251633986929","0.3233251633986929","0.3233251633986929"
"52","0.3222906650641026","0.3222906650641026","0.3222906650641026"
"53","0.32141804245283023","0.32141804245283023","0.32141804245283023"
"54","0.320384837962963","0.320384837962963","0.320384837962963"
"55","0.3194602272727273","0.3194602272727273","0.3194602272727273"
"56","0.3188011532738096","0.3188011532738096","0.3188011532738096"
"57","0.31789108187134507","0.31789108187134507","0.31789108187134507"
"58","0.3173491379310345","0.3173491379310345","0.3173491379310345"
"59","0.3166048728813559","0.3166048728813559","0.3166048728813559"
"60","0.3157769097222222","0.3157769097222222","0.3157769097222222"
"61","0.3147199453551912","0.3147199453551912","0.3147199453551912"
"62","0.31407510080645157","0.31407510080645157","0.31407510080645157"
"63","0.31305803571428564","0.31305803571428564","0.31305803571428564"
"64","0.31227620442708326","0.31227620442708326","0.31227620442708326"
"65","0.3112780448717948","0.3112780448717948","0.3112780448717948"
"66","0.31040877525252514","0.31040877525252514","0.31040877525252514"
"67","0.30933224502487555","0.30933224502487555","0.30933224502487555"
"68","0.30865119485294107","0.30865119485294107","0.30865119485294107"
"69","0.30785778985507234","0.30785778985507234","0.30785778985507234"
"70","0.3070684523809523","0.3070684523809523","0.3070684523809523"
"71","0.3063196889671361","0.3063196889671361","0.3063196889671361"
"72","0.3055736400462962","0.3055736400462962","0.3055736400462962"
"73","0.30495505136986295","0.30495505136986295","0.30495505136986295"
"74","0.304370777027027","0.304370777027027","0.304370777027027"
"75","0.3038715277777777","0.3038715277777777","0.3038715277777777"
"76","0.30357387609649117","0.30357387609649117","0.30357387609649117"
"77","0.303131764069264","0.303131764069264","0.303131764069264"
"78","0.3024505876068376","0.3024505876068376","0.3024505876068376"
"79","0.3020668512658227","0.3020668512658227","0.3020668512658227"
"80","0.3015462239583333","0.3015462239583333","0.3015462239583333"
"81","0.3009420010288066","0.3009420010288066","0.3009420010288066"
"82","0.300463668699187","0.300463668699187","0.300463668699187"
